Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Link
ADXS,"Advaxis, Inc.",9.43,$321.58M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS78YdKq5lku_qdonu5i1sR-ZLWW7Yu3d30HmsYi-MK9YM7WQlHwSpcAK0
ADXSW,"Advaxis, Inc.",6.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS78YdKq5lku_qdonu5i1sR-ZLWW7Yu3d30HmsYi-MK9YM7WQlHwSpcAK0
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,23.556,$2.36M,n/a,Others,n/a,http://www.nasdaq.com/symbol/maui,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwyiDtVfRsGx79rSlQl4kk6hPgcjNzK0122VT8RlBQ1cANL3LKD1RzHx8
YPRO,AdvisorShares YieldPro ETF,23.35,$33.27M,n/a,Others,n/a,http://www.nasdaq.com/symbol/ypro,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQBBsyRKY-R01315w_Toi8zgTWpy77eTw4RlKRqZpPTmxxArZ692XxogM6iUg
AEGR,"Aegerion Pharmaceuticals, Inc.",3.15,$92.84M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSNUG1_EOf3jze1bA5E8m7MEbp4myJ7YtKMHwDXmWycw_-dYY5H-w3nMY4
AEGN,Aegion Corp,21.43,$757.78M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSn2Qq3_muLAO0SGD65-9aGpGjZvwEAOQyO_ldZNLCchpKGlsTjlny6Qw
AGLE,"Aeglea BioTherapeutics, Inc.",9.19,$118.83M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRuY8U_Rqg6zS6oOXsId70tjqXLfP0D4Lh8224E26axSUr5IO_T9fS4_Yw
AEHR,Aehr Test Systems,1.55,$20.4M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv9SPNJxeNbqYZyZKk4Yfxp4awpzEd2pLrRBDTopenAeJwDcMUczN7cUk
AMTX,"Aemetis, Inc",2.85,$56.02M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9UhZwWqyopvrYftGXrA8Oiy7yLpYJ8JJw9F_6m2hwow1iVxpp9VSvvBU
AEPI,AEP Industries Inc.,64.86,$331.27M,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFacmzblIav0HDmxz_yVBb1_xevRtFxBBFJKMpjcK40n9X6v3Ri_Y8nWs
AERI,"Aerie Pharmaceuticals, Inc.",16.56,$439.04M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXlpAGV74NxL74NgP97537zpY7iMVH2cfivit4CHgeK3_VGN8-yAEY9w
AVAV,"AeroVironment, Inc.",28.91,$675.25M,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQXYh1iA_vUgoQrLERZ10hLPCw5FobZJUbWNf81GIYnGPTPOwq7yiSXHQ
AEZS,AEterna Zentaris Inc.,4.18,$41.5M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRfX5TxNDgivSMsytCGqFTyoTewfll-DdvS1hggrD4-s1us99Fuhh3LG58
AEMD,"Aethlon Medical, Inc.",5.49,$41.85M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSWQhXaiBaY_sCREWXi9VJtM83zwBUIW-ekbNjyR2frlFt9RYNlSL7E0A
AFMD,Affimed N.V.,4.44,$147.67M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvR12FbPkW8HuSouSLJrnWmXXyntGg1JLrC9Bo-MaGpXfl5JO5On29sCw
AGEN,Agenus Inc.,4.28,$370.29M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5hkk8CsFRd6614yv1FpXrUibx9ATFYXfnEN_Q2th4PzBpYnE9quNSRA
AGRX,"Agile Therapeutics, Inc.",6.56,$188.52M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-3WP8gPx84eK2arowNVuTc2YRLDx4-urpnaHNhR8M8PoobBO4LM1T0Q
AGYS,"Agilysys, Inc.",10.88,$249.96M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQv8w0gQFDzvP5YEnPn2upKIR0Bo15xGC8stIAXpp_oKg6EcePj5KShJwtP
AGIO,"Agios Pharmaceuticals, Inc.",54.54,$2.06B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ3qUzapw-jR6vTfXXSePn8svVCjfBijBKoB6RWYb_2STnsu_8cuBKjFA
AGFS,"AgroFresh Solutions, Inc.",6.39,$318.87M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBzTfNfyiTL5cNXiH4nPOxwOQT3xpolmSKRL3zdDPVVkwzzZ4RKjwTaBE
AGFSW,"AgroFresh Solutions, Inc.",0.9,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBzTfNfyiTL5cNXiH4nPOxwOQT3xpolmSKRL3zdDPVVkwzzZ4RKjwTaBE
AIMT,"Aimmune Therapeutics, Inc.",14.08,$594.72M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCFvn5UMbpHsaBF2FW7bofdm4JD6MBE3d-YnFZ405cZbYGaecs-UB5kHM
AIRM,Air Methods Corporation,39.38,$1.53B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTODjaBcH7B0oSakKh66MGgc9MhFY-5_Nv8moFBnGpeAwvwm04IiadhjAE
AIRT,"Air T, Inc.",24.5,$58.13M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSMstiVLfSxTWHuXddq97aN-MFkwyaoyirV8ewchWy0R28m7TPlfknHRp0
